BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000184,02.02.2026,OF00000338,ABRANET 115mm* 25mt  TEL ZIMPARA 180 KUM,6.00,"2,600.00","15,600.00",ÇÖLLÜOĞLU ZIMPARA - İBRAHİM TAHA ÇÖLLÜOĞLU
000000000000184,02.02.2026,OF00000674,DİSK ZIMPARA ÇAP 115 mm 36 KUM,200.00,12.75,"2,550.00",ÇÖLLÜOĞLU ZIMPARA - İBRAHİM TAHA ÇÖLLÜOĞLU
000000000000184,02.02.2026,OF00001463,FLAP DİSK ZIMPARA 40 KUM 115mm,100.00,42.12,"4,212.00",ÇÖLLÜOĞLU ZIMPARA - İBRAHİM TAHA ÇÖLLÜOĞLU
000000000000184,02.02.2026,OF00001465,HERMES DİSK ZIMPARA 320 KUM VC 154,3.00,657.00,"1,971.00",ÇÖLLÜOĞLU ZIMPARA - İBRAHİM TAHA ÇÖLLÜOĞLU
000000000000184,02.02.2026,OF00001466,MOP ZIMPARA KAMALI SKOÇ (SÜNGER) 100*100 MM,1.00,425.35,425.35,ÇÖLLÜOĞLU ZIMPARA - İBRAHİM TAHA ÇÖLLÜOĞLU
000000000000184,02.02.2026,OF00001477,Karbosan Saplı Mop Zımpara 25x30 mm 100 Kum - KAR981623,5.00,32.25,161.25,ÇÖLLÜOĞLU ZIMPARA - İBRAHİM TAHA ÇÖLLÜOĞLU
000000000000184,02.02.2026,OF00006273,MOP ZIMPARA KAMALI 100*100 MM P 60 KUM,10.00,307.59,"3,075.90",ÇÖLLÜOĞLU ZIMPARA - İBRAHİM TAHA ÇÖLLÜOĞLU
000000000001252,02.02.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,"2,950.00","2,950.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001252,02.02.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,305.00,610.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001252,02.02.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,"4,615.00","4,615.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001252,02.02.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,"1,865.00","1,865.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001323,02.02.2026,OF00000039,METAL 4 DELİKLİ L BAĞLANTI 23*30*30mm,500.00,1.85,925.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
